abs_ssc,name,state,area
10155,Balgownie,New South Wales,3.69
10156,Balickera,New South Wales,27.47
10157,Balladoran,New South Wales,243.13
10158,Ballalaba,New South Wales,43.77
10159,Balldale,New South Wales,191.29
10160,Ballengarra,New South Wales,23.36
10161,Ballimore,New South Wales,229.31
10162,Ballina,New South Wales,20.46
10163,Ballyroe,New South Wales,82.92
10164,Balmain,New South Wales,1.54
10165,Balmain East,New South Wales,0.34
10166,Balmoral (Lake Macquarie - NSW),New South Wales,0.86
10167,Balmoral (Wingecarribee - NSW),New South Wales,26.32
10168,Balranald,New South Wales,5203.74
10169,Bamarang,New South Wales,11.81
10170,Banda Banda,New South Wales,70.51
10171,Bandon Grove,New South Wales,50.45
10172,Bangadang,New South Wales,17.96
10173,Bangalee (NSW),New South Wales,6.56
10174,Bangalow,New South Wales,24.40
10175,Bangheet,New South Wales,183.80
10176,Bango,New South Wales,108.41
10177,Bangor (NSW),New South Wales,3.92
10178,Banksia,New South Wales,0.96
10179,Banksmeadow,New South Wales,3.59
10180,Bankstown,New South Wales,6.39
10181,Bankstown Aerodrome,New South Wales,3.73
10182,Bannaby,New South Wales,242.33
10183,Bannister (NSW),New South Wales,109.92
10184,Banoon,New South Wales,122.98
10185,Banora Point,New South Wales,9.60
10186,Banyabba,New South Wales,206.62
10187,Bar Beach,New South Wales,0.51
10188,Bar Point,New South Wales,10.04
10189,Bara,New South Wales,27.61
10190,Baradine,New South Wales,543.06
10191,Barangaroo,New South Wales,0.22
10192,Barcoongere,New South Wales,193.47
10193,Barden Ridge,New South Wales,5.60
10194,Bardia,New South Wales,2.11
10195,Bardwell Park,New South Wales,0.96
10196,Bardwell Valley,New South Wales,0.63
10197,Barellan,New South Wales,986.53
10198,Bargo,New South Wales,49.09
10199,Barham,New South Wales,472.80
10200,Barigan,New South Wales,123.92
10201,Barkers Vale,New South Wales,26.01
10202,Barmedman,New South Wales,708.11
10203,Barneys Reef,New South Wales,15.49
10204,Barnsley,New South Wales,3.53
10205,Barooga,New South Wales,98.31
10206,Barraba,New South Wales,523.54
10207,Barrack Heights,New South Wales,2.42
10208,Barrack Point,New South Wales,0.43
10209,Barraganyatti,New South Wales,50.60
10210,Barragga Bay,New South Wales,2.50
10211,Barratta (NSW),New South Wales,659.33
10212,Barren Grounds,New South Wales,16.16
10213,Barrengarry,New South Wales,42.39
10214,Barretts Creek,New South Wales,87.21
10215,Barringella,New South Wales,39.40
10216,Barrington (NSW),New South Wales,63.01
10217,Barrington Tops,New South Wales,305.98
10218,Barry (Blayney - NSW),New South Wales,37.27
10219,Barry (Upper Hunter Shire - NSW),New South Wales,96.65
10220,Barwang,New South Wales,250.20
10221,Barwon,New South Wales,222.68
10222,Baryulgil,New South Wales,95.99
10223,Basin View,New South Wales,7.04
10224,Bass Hill,New South Wales,2.93
10225,Bassendean (NSW),New South Wales,82.11
10226,Batar Creek,New South Wales,25.78
10227,Bateau Bay,New South Wales,6.94
10228,Batehaven,New South Wales,2.56
10229,Batemans Bay,New South Wales,33.23
10230,Bathampton,New South Wales,22.69
10231,Bathurst,New South Wales,5.89
10232,Batlow,New South Wales,167.00
10233,Baulkham Hills,New South Wales,16.00
10234,Baw Baw (NSW),New South Wales,55.08
10235,Bawley Point,New South Wales,20.49
10236,Baxters Ridge,New South Wales,101.02
10237,Bayview (NSW),New South Wales,3.74
10238,Beacon Hill,New South Wales,2.61
10239,Beaconsfield (NSW),New South Wales,0.17
10240,Bean Creek,New South Wales,73.97
10241,Bearbong,New South Wales,294.13
10242,Beaumont (NSW),New South Wales,17.06
10243,Beaumont Hills,New South Wales,3.19
10244,Beckom,New South Wales,351.32
10245,Bective,New South Wales,133.05
10246,Bectric,New South Wales,145.68
10247,Bedgerabong,New South Wales,136.60
10248,Beechwood,New South Wales,9.92
10249,Beecroft,New South Wales,5.12
10250,Beecroft Peninsula,New South Wales,46.58
10251,Beelbangera,New South Wales,21.36
10252,Beemunnel,New South Wales,14.22
10253,Bega,New South Wales,31.17
10254,Beggan Beggan,New South Wales,224.63
10255,Belanglo,New South Wales,61.67
10256,Belbora,New South Wales,102.36
10257,Belfield,New South Wales,1.78
10258,Belford,New South Wales,39.80
10259,Belfrayden,New South Wales,4.05
10260,Belgravia,New South Wales,95.96
10261,Belimbla Park,New South Wales,3.66
10262,Bell (NSW),New South Wales,40.51
10263,Bella Vista,New South Wales,3.80
10264,Bellambi,New South Wales,2.34
10265,Bellangry,New South Wales,83.52
10266,Bellata,New South Wales,1021.64
10267,Bellawongarah,New South Wales,17.92
10268,Bellbird,New South Wales,7.66
10269,Bellbird Heights,New South Wales,0.40
10270,Bellbrook,New South Wales,396.11
10271,Bellevue Hill,New South Wales,2.37
10272,Bellimbopinni,New South Wales,15.66
10273,Bellingen,New South Wales,54.28
10274,Bellmount Forest,New South Wales,115.06
10275,Belltrees,New South Wales,170.04
10276,Belmont (NSW),New South Wales,10.55
10277,Belmont North,New South Wales,3.63
10278,Belmont South,New South Wales,2.54
10279,Belmore,New South Wales,2.73
10280,Belmore River,New South Wales,70.30
10281,Beloka,New South Wales,67.01
10282,Belowra,New South Wales,378.31
10283,Belrose,New South Wales,13.64
10284,Bemboka,New South Wales,334.37
10285,Ben Bullen,New South Wales,85.14
10286,Ben Lomond (NSW),New South Wales,277.97
10287,Benandarah,New South Wales,128.86
10288,Bendalong,New South Wales,14.26
10289,Bendemeer,New South Wales,541.45
10290,Bendick Murrell,New South Wales,101.87
10291,Bendolba,New South Wales,23.75
10292,Bendoura,New South Wales,46.87
10293,Benerembah,New South Wales,385.80
10294,Bengalla,New South Wales,20.58
10295,Bennetts Green,New South Wales,3.43
10296,Benolong,New South Wales,189.17
10297,Bensville,New South Wales,4.93
10298,Bentley (NSW),New South Wales,56.94
10299,Berala,New South Wales,2.13
10300,Berambing,New South Wales,4.10
10301,Beresfield,New South Wales,6.29
10302,Bergalia,New South Wales,24.52
10303,Berkeley,New South Wales,7.32
10304,Berkeley Vale,New South Wales,6.14
10305,Berkshire Park,New South Wales,19.27
10306,Berlang,New South Wales,92.52
10307,Bermagui,New South Wales,44.25
10308,Berowra,New South Wales,8.30
10309,Berowra Creek,New South Wales,1.31
10310,Berowra Heights,New South Wales,8.00
10311,Berowra Waters,New South Wales,0.38
10312,Berrambool,New South Wales,0.64
10313,Berrara,New South Wales,0.76
10314,Berremangra,New South Wales,277.01
10315,Berrico,New South Wales,82.88
10316,Berridale,New South Wales,233.58
10317,Berrigal,New South Wales,306.24
10318,Berrigan,New South Wales,720.01
10319,Berrilee,New South Wales,12.07
10320,Berrima,New South Wales,54.43
10321,Berringer Lake,New South Wales,0.93
10322,Berry,New South Wales,51.66
10323,Berry Jerry,New South Wales,185.59
10324,Berry Mountain,New South Wales,6.56
10325,Berry Park,New South Wales,8.81
10326,Berthong,New South Wales,167.22
10327,Beryl,New South Wales,71.55
10328,Bethungra,New South Wales,301.05
10329,Bevendale,New South Wales,229.95
10330,Beverley Park,New South Wales,1.01
10331,Beverly Hills,New South Wales,2.98
10332,Bewong,New South Wales,4.18
10333,Bexhill,New South Wales,19.78
10334,Bexley,New South Wales,4.37
10335,Bexley North,New South Wales,1.20
10336,Biala,New South Wales,190.75
10337,Bibbenluke,New South Wales,53.80
10338,Biddon,New South Wales,293.82
10339,Bidgeemia,New South Wales,232.04
10340,Bidwill (NSW),New South Wales,1.51
10341,Bielsdown Hills,New South Wales,28.69
10342,Big Hill (NSW),New South Wales,186.07
10343,Big Jacks Creek,New South Wales,90.84
10344,Big Ridge,New South Wales,2.53
10345,Big Springs,New South Wales,207.88
10346,Bigga,New South Wales,602.81
10347,Bilambil,New South Wales,9.53
10348,Bilambil Heights,New South Wales,8.51
