school_id,name,suburb,state,postcode,sector,school_type,lat,lng
43799,Namoi Valley Christian School,Wee Waa,NSW,2388,Independent,Primary,-30.226129,149.441134
43801,Tweed Valley Adventist College,Murwillumbah,NSW,2484,Independent,Combined,-28.330051,153.37306
43802,The McDonald College,North Strathfield,NSW,2137,Independent,Combined,-33.863434,151.088129
43803,Scone Grammar School,Scone,NSW,2337,Independent,Combined,-32.051098,150.863986
43804,Hurstville Adventist School,Hurstville,NSW,2220,Independent,Primary,-33.964945,151.109299
43805,Kempsey Adventist School,Kempsey,NSW,2440,Independent,Combined,-31.10359,152.84154
43806,Emmanuel Anglican College,Ballina,NSW,2478,Independent,Combined,-28.859541,153.532927
43807,St Narsai Assyrian Christian College,Edensor Park,NSW,2176,Independent,Secondary,-33.871719,150.892319
43808,Bhaktivedanta Swami Gurukula School,Eungella,NSW,2484,Independent,Combined,-28.35799599,153.3231659
43809,Wollemi College,Werrington,NSW,2747,Independent,Secondary,-33.76453871,150.7561095
43810,Rainbow Ridge School for Steiner Education,Lillian Rock,NSW,2480,Independent,Combined,-28.537704,153.166559
43811,St Paul's College,Walla Walla,NSW,2659,Independent,Secondary,-35.755412,146.908182
43812,Glenaeon Rudolf Steiner School,Middle Cove,NSW,2068,Independent,Combined,-33.791479,151.208694
43813,Aspect South Coast School,Corrimal,NSW,2518,Independent,Special,-34.363866,150.896076
43814,Penrith Christian School,Orchard Hills,NSW,2748,Independent,Combined,-33.78488341,150.7091386
43815,Kamaroi Rudolf Steiner School,Belrose,NSW,2085,Independent,Primary,-33.71139,151.216182
43816,St Luke's Grammar School - Bayview Campus,Bayview,NSW,2104,Independent,Combined,-33.657509,151.295472
43817,Mumbulla School for Rudolf Steiner Education,Bega,NSW,2550,Independent,Primary,-36.672532,149.846611
43818,Tuntable Falls Community School,Nimbin,NSW,2480,Independent,Primary,-28.5803685,153.2760166
43819,M.E.T. School - Condobolin campus,Condobolin,NSW,2877,Independent,Combined,-33.0944,147.139
43820,Macquarie Anglican Grammar School,Dubbo,NSW,2830,Independent,Combined,-32.249898,148.576138
43821,The Scots College,Bellevue Hill,NSW,2023,Independent,Combined,-33.875115,151.253856
43822,M.E.T. School - Armidale campus,Armidale,NSW,2350,Independent,Combined,-30.50406,151.655949
43823,Aspect Western Sydney School,Wetherill Park,NSW,2164,Independent,Special,-33.848273,150.914952
43824,Norwest Christian College,Riverstone,NSW,2765,Independent,Combined,-33.677742,150.873642
43825,Reddam House - Bondi Campus,North Bondi,NSW,2026,Independent,Combined,-33.885307,151.276779
43826,Vistara Primary School,Richmond Hill,NSW,2480,Independent,Primary,-28.783642,153.340038
43827,Green Valley Islamic College,Green Valley,NSW,2168,Independent,Combined,-33.898208,150.867092
