abs_ssc,name,state,area
"SSC10134",Baerami,New South Wales,151.23
"SSC10135",Baerami Creek,New South Wales,367.24
"SSC10136",Bagnoo,New South Wales,37.80
"SSC10137",Bago,New South Wales,63.04
"SSC10138",Bagotville,New South Wales,9.92
"SSC10139",Bakers Creek (Mid-Coast - NSW),New South Wales,40.47
"SSC10140",Bakers Creek (Nambucca - NSW),New South Wales,57.22
"SSC10141",Bakers Creek (Uralla - NSW),New South Wales,161.59
"SSC10142",Bakers Swamp,New South Wales,136.49
"SSC10143",Balaclava,New South Wales,2.38
"SSC10144",Balala,New South Wales,357.16
"SSC10145",Balcolyn,New South Wales,0.74
"SSC10146",Bald Blair,New South Wales,101.23
"SSC10147",Bald Hills,New South Wales,10.71
"SSC10148",Bald Nob,New South Wales,77.49
"SSC10149",Bald Ridge,New South Wales,135.80
"SSC10150",Baldersleigh,New South Wales,164.36
"SSC10151",Baldry,New South Wales,473.53
"SSC10152",Balfours Peak,New South Wales,170.93
"SSC10153",Balgowlah,New South Wales,1.96
"SSC10154",Balgowlah Heights,New South Wales,1.68
"SSC10155",Balgownie,New South Wales,3.69
"SSC10156",Balickera,New South Wales,27.47
"SSC10157",Balladoran,New South Wales,243.13
"SSC10158",Ballalaba,New South Wales,43.77
"SSC10159",Balldale,New South Wales,191.29
"SSC10160",Ballengarra,New South Wales,23.36
"SSC10161",Ballimore,New South Wales,229.31
"SSC10162",Ballina,New South Wales,20.46
"SSC10163",Ballyroe,New South Wales,82.92
"SSC10164",Balmain,New South Wales,1.54
"SSC10165",Balmain East,New South Wales,0.34
"SSC10166",Balmoral (Lake Macquarie - NSW),New South Wales,0.86
"SSC10167",Balmoral (Wingecarribee - NSW),New South Wales,26.32
"SSC10168",Balranald,New South Wales,5203.74
"SSC10169",Bamarang,New South Wales,11.81
"SSC10170",Banda Banda,New South Wales,70.51
"SSC10171",Bandon Grove,New South Wales,50.45
"SSC10172",Bangadang,New South Wales,17.96
"SSC10173",Bangalee,New South Wales,6.56
"SSC10174",Bangalow,New South Wales,24.40
"SSC10175",Bangheet,New South Wales,183.80
"SSC10176",Bango,New South Wales,108.41
"SSC10177",Bangor,New South Wales,3.92
"SSC10178",Banksia,New South Wales,0.96
"SSC10179",Banksmeadow,New South Wales,3.59
"SSC10180",Bankstown,New South Wales,6.39
"SSC10181",Bankstown Aerodrome,New South Wales,3.73
"SSC10182",Bannaby,New South Wales,242.33
"SSC10183",Bannister,New South Wales,109.92
"SSC10184",Banoon,New South Wales,122.98
"SSC10185",Banora Point,New South Wales,9.60
"SSC10186",Banyabba,New South Wales,206.62
"SSC10187",Bar Beach,New South Wales,0.51
"SSC10188",Bar Point,New South Wales,10.04
"SSC10189",Bara,New South Wales,27.61
"SSC10190",Baradine,New South Wales,543.06
"SSC10191",Barangaroo,New South Wales,0.22
"SSC10192",Barcoongere,New South Wales,193.47
"SSC10193",Barden Ridge,New South Wales,5.60
"SSC10194",Bardia,New South Wales,2.11
"SSC10195",Bardwell Park,New South Wales,0.96
"SSC10196",Bardwell Valley,New South Wales,0.63
"SSC10197",Barellan,New South Wales,986.53
"SSC10198",Bargo,New South Wales,49.09
"SSC10199",Barham,New South Wales,472.80
"SSC10200",Barigan,New South Wales,123.92
"SSC10201",Barkers Vale,New South Wales,26.01
"SSC10202",Barmedman,New South Wales,708.11
"SSC10203",Barneys Reef,New South Wales,15.49
"SSC10204",Barnsley,New South Wales,3.53
"SSC10205",Barooga,New South Wales,98.31
"SSC10206",Barraba,New South Wales,523.54
"SSC10207",Barrack Heights,New South Wales,2.42
"SSC10208",Barrack Point,New South Wales,0.43
"SSC10209",Barraganyatti,New South Wales,50.60
"SSC10210",Barragga Bay,New South Wales,2.50
"SSC10211",Barratta,New South Wales,659.33
"SSC10212",Barren Grounds,New South Wales,16.16
"SSC10213",Barrengarry,New South Wales,42.39
"SSC10214",Barretts Creek,New South Wales,87.21
"SSC10215",Barringella,New South Wales,39.40
"SSC10216",Barrington,New South Wales,63.01
"SSC10217",Barrington Tops,New South Wales,305.98
"SSC10218",Barry (Blayney - NSW),New South Wales,37.27
"SSC10219",Barry (Upper Hunter Shire - NSW),New South Wales,96.65
"SSC10220",Barwang,New South Wales,250.20
"SSC10221",Barwon,New South Wales,222.68
"SSC10222",Baryulgil,New South Wales,95.99
"SSC10223",Basin View,New South Wales,7.04
"SSC10224",Bass Hill,New South Wales,2.93
"SSC10225",Bassendean,New South Wales,82.11
"SSC10226",Batar Creek,New South Wales,25.78
"SSC10227",Bateau Bay,New South Wales,6.94
"SSC10228",Batehaven,New South Wales,2.56
"SSC10229",Batemans Bay,New South Wales,33.23
"SSC10230",Bathampton,New South Wales,22.69
"SSC10231",Bathurst,New South Wales,5.89
"SSC10232",Batlow,New South Wales,167.00
"SSC10233",Baulkham Hills,New South Wales,16.00
"SSC10234",Baw Baw,New South Wales,55.08
"SSC10235",Bawley Point,New South Wales,20.49
"SSC10236",Baxters Ridge,New South Wales,101.02
"SSC10237",Bayview,New South Wales,3.74
"SSC10238",Beacon Hill,New South Wales,2.61
"SSC10239",Beaconsfield,New South Wales,0.17
"SSC10240",Bean Creek,New South Wales,73.97
"SSC10241",Bearbong,New South Wales,294.13
"SSC10242",Beaumont,New South Wales,17.06
"SSC10243",Beaumont Hills,New South Wales,3.19
"SSC10244",Beckom,New South Wales,351.32
"SSC10245",Bective,New South Wales,133.05
"SSC10246",Bectric,New South Wales,145.68
"SSC10247",Bedgerabong,New South Wales,136.60
"SSC10248",Beechwood,New South Wales,9.92
"SSC10249",Beecroft,New South Wales,5.12
"SSC10250",Beecroft Peninsula,New South Wales,46.58
"SSC10251",Beelbangera,New South Wales,21.36
"SSC10252",Beemunnel,New South Wales,14.22
"SSC10253",Bega,New South Wales,31.17
"SSC10254",Beggan Beggan,New South Wales,224.63
"SSC10255",Belanglo,New South Wales,61.67
"SSC10256",Belbora,New South Wales,102.36
"SSC10257",Belfield,New South Wales,1.78
"SSC10258",Belford,New South Wales,39.80
"SSC10259",Belfrayden,New South Wales,4.05
"SSC10260",Belgravia,New South Wales,95.96
"SSC10261",Belimbla Park,New South Wales,3.66
"SSC10262",Bell,New South Wales,40.51
"SSC10263",Bella Vista,New South Wales,3.80
"SSC10264",Bellambi,New South Wales,2.34
"SSC10265",Bellangry,New South Wales,83.52
"SSC10266",Bellata,New South Wales,1021.64
"SSC10267",Bellawongarah,New South Wales,17.92
"SSC10268",Bellbird,New South Wales,7.66
"SSC10269",Bellbird Heights,New South Wales,0.40
"SSC10270",Bellbrook,New South Wales,396.11
"SSC10271",Bellevue Hill,New South Wales,2.37
"SSC10272",Bellimbopinni,New South Wales,15.66
"SSC10273",Bellingen,New South Wales,54.28
"SSC10274",Bellmount Forest,New South Wales,115.06
"SSC10275",Belltrees,New South Wales,170.04
"SSC10276",Belmont,New South Wales,10.55
"SSC10277",Belmont North,New South Wales,3.63
"SSC10278",Belmont South,New South Wales,2.54
"SSC10279",Belmore,New South Wales,2.73
"SSC10280",Belmore River,New South Wales,70.30
"SSC10281",Beloka,New South Wales,67.01
"SSC10282",Belowra,New South Wales,378.31
"SSC10283",Belrose,New South Wales,13.64
"SSC10284",Bemboka,New South Wales,334.37
"SSC10285",Ben Bullen,New South Wales,85.14
"SSC10286",Ben Lomond,New South Wales,277.97
"SSC10287",Benandarah,New South Wales,128.86
"SSC10288",Bendalong,New South Wales,14.26
"SSC10289",Bendemeer,New South Wales,541.45
"SSC10290",Bendick Murrell,New South Wales,101.87
"SSC10291",Bendolba,New South Wales,23.75
"SSC10292",Bendoura,New South Wales,46.87
"SSC10293",Benerembah,New South Wales,385.80
"SSC10294",Bengalla,New South Wales,20.58
"SSC10295",Bennetts Green,New South Wales,3.43
"SSC10296",Benolong,New South Wales,189.17
"SSC10297",Bensville,New South Wales,4.93
"SSC10298",Bentley,New South Wales,56.94
"SSC10299",Berala,New South Wales,2.13
"SSC10300",Berambing,New South Wales,4.10
"SSC10301",Beresfield,New South Wales,6.29
"SSC10302",Bergalia,New South Wales,24.52
"SSC10303",Berkeley,New South Wales,7.32
"SSC10304",Berkeley Vale,New South Wales,6.14
"SSC10305",Berkshire Park,New South Wales,19.27
"SSC10306",Berlang,New South Wales,92.52
"SSC10307",Bermagui,New South Wales,44.25
"SSC10308",Berowra,New South Wales,8.30
"SSC10309",Berowra Creek,New South Wales,1.31
"SSC10310",Berowra Heights,New South Wales,8.00
"SSC10311",Berowra Waters,New South Wales,0.38
"SSC10312",Berrambool,New South Wales,0.64
"SSC10313",Berrara,New South Wales,0.76
"SSC10314",Berremangra,New South Wales,277.01
"SSC10315",Berrico,New South Wales,82.88
"SSC10316",Berridale,New South Wales,233.58
"SSC10317",Berrigal,New South Wales,306.24
"SSC10318",Berrigan,New South Wales,720.01
"SSC10319",Berrilee,New South Wales,12.07
"SSC10320",Berrima,New South Wales,54.43
"SSC10321",Berringer Lake,New South Wales,0.93
"SSC10322",Berry,New South Wales,51.66
"SSC10323",Berry Jerry,New South Wales,185.59
"SSC10324",Berry Mountain,New South Wales,6.56
"SSC10325",Berry Park,New South Wales,8.81
"SSC10326",Berthong,New South Wales,167.22
"SSC10327",Beryl,New South Wales,71.55
"SSC10328",Bethungra,New South Wales,301.05
"SSC10329",Bevendale,New South Wales,229.95
"SSC10330",Beverley Park,New South Wales,1.01
"SSC10331",Beverly Hills,New South Wales,2.98
"SSC10332",Bewong,New South Wales,4.18
"SSC10333",Bexhill,New South Wales,19.78
"SSC10334",Bexley,New South Wales,4.37
"SSC10335",Bexley North,New South Wales,1.20
"SSC10336",Biala,New South Wales,190.75
"SSC10337",Bibbenluke,New South Wales,53.80
"SSC10338",Biddon,New South Wales,293.82
"SSC10339",Bidgeemia,New South Wales,232.04
"SSC10340",Bidwill,New South Wales,1.51
"SSC10341",Bielsdown Hills,New South Wales,28.69
"SSC10342",Big Hill,New South Wales,186.07
"SSC10343",Big Jacks Creek,New South Wales,90.84
"SSC10344",Big Ridge,New South Wales,2.53
"SSC10345",Big Springs,New South Wales,207.88
"SSC10346",Bigga,New South Wales,602.81
"SSC10347",Bilambil,New South Wales,9.53
"SSC10348",Bilambil Heights,New South Wales,8.51
"SSC10349",Bilbul,New South Wales,78.62
"SSC10350",Bilgola Beach,New South Wales,0.35
"SSC10351",Bilgola Plateau,New South Wales,1.39
"SSC10352",Billeroy,New South Wales,405.94
"SSC10353",Billilingra,New South Wales,64.82
"SSC10354",Billimari,New South Wales,64.39
"SSC10355",Billinudgel,New South Wales,8.55
"SSC10356",Billys Creek,New South Wales,80.05
"SSC10357",Billywillinga,New South Wales,51.56
"SSC10358",Bilpin,New South Wales,179.91
"SSC10359",Bimberi,New South Wales,213.20
"SSC10360",Bimbi,New South Wales,197.35
"SSC10361",Bimbimbie,New South Wales,9.08
"SSC10362",Binalong,New South Wales,281.31
"SSC10363",Binda,New South Wales,377.93
"SSC10364",Bindera,New South Wales,44.85
"SSC10365",Bingara,New South Wales,269.39
"SSC10366",Bingeebeebra Creek,New South Wales,24.50
"SSC10367",Bingie,New South Wales,10.45
"SSC10368",Bingleburra,New South Wales,68.73
"SSC10369",Biniguy,New South Wales,308.80
"SSC10370",Binjura,New South Wales,23.65
"SSC10371",Binna Burra,New South Wales,11.40
"SSC10372",Binnaway,New South Wales,476.32
"SSC10373",Binya,New South Wales,694.87
"SSC10374",Birchgrove,New South Wales,0.59
"SSC10375",Birdwood,New South Wales,80.84
"SSC10376",Birganbigil,New South Wales,92.71
