school_id,name,suburb,state,postcode,sector,school_type,website,year_range,teaching_staff,non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments
42995,Hill End Public School,Hill End,NSW,2850,Government,Primary,http://www.hillend-p.schools.nsw.edu.au,K-6,1.3,0.9,8,6,2
42996,Holmwood Public School,Cowra,NSW,2794,Government,Primary,http://www.holmwood-p.schools.nsw.edu.au,K-6,2.6,0.9,47,27,20
42997,Ilford Public School,Ilford,NSW,2850,Government,Primary,http://www.ilford-p.schools.nsw.edu.au/,K-6,2.5,0.9,32,16,16
42998,Ivanhoe Central School,Ivanhoe,NSW,2878,Government,Combined,http://www.ivanhoe-c.schools.nsw.edu.au,K-12,5.6,4.1,29,17,12
42999,Kandos Public School,Kandos,NSW,2848,Government,Primary,http://www.kandos-p.schools.nsw.edu.au,"U, K-6",13.1,4.9,143,83,60
43000,Kelso Public School,Kelso,NSW,2795,Government,Primary,http://www.kelso-p.schools.nsw.edu.au,"U, K-6",25.7,10.1,264,131,133
43001,Koorawatha Public School,Koorawatha,NSW,2807,Government,Primary,http://www.koorawatha-p.schools.nsw.edu.au,K-6,2.6,0.9,29,13,16
43002,Lightning Ridge Central School,Lightning Ridge,NSW,2834,Government,Combined,http://www.lightningr-c.schools.nsw.edu.au,"U, K-12",38.7,12.2,363,173,190
43003,Lithgow Public School,Lithgow,NSW,2790,Government,Primary,http://www.lithgow-p.schools.nsw.edu.au,"U, K-6",27.8,7.4,444,218,226
43004,Lue Public School,Lue,NSW,2850,Government,Primary,http://www.lue-p.schools.nsw.edu.au,K-6,1.8,0.7,18,6,12
43005,Lyndhurst Public School,Lyndhurst,NSW,2797,Government,Primary,http://www.lyndhurst-p.schools.nsw.edu.au,K-6,2.6,0.9,28,17,11
43006,Mandurama Public School,Mandurama,NSW,2792,Government,Primary,http://www.mandurama-p.schools.nsw.edu.au,K-6,1.3,0.9,10,6,4
43007,Manildra Public School,Manildra,NSW,2865,Government,Primary,http://www.manildra-p.schools.nsw.edu.au,K-6,2.5,0.9,43,18,25
43008,Meadow Flat Public School,Meadow Flat,NSW,2795,Government,Primary,http://www.meadowflat-p.schools.nsw.edu.au,K-6,2.6,0.9,45,24,21
43009,Mendooran Central School,Mendooran,NSW,2842,Government,Combined,http://www.mendooran-c.schools.nsw.edu.au,K-12,13.1,5.4,139,71,68
43010,Menindee Central School,Menindee,NSW,2879,Government,Combined,http://www.menindee-c.schools.nsw.edu.au,K-12,15.4,4.5,91,45,46
43011,Millthorpe Public School,Millthorpe,NSW,2798,Government,Primary,http://www.millthorpe-p.schools.nsw.edu.au,K-6,15.8,2.6,287,139,148
43012,Molong Central School,Molong,NSW,2866,Government,Combined,http://www.molong-c.schools.nsw.edu.au,K-12,38.2,7.8,472,245,227
